Actual,predictions
6,5.974585858
6,5.995693039
5,4.997805113
6,5.974526245
7,6.9913173
6,5.994702734
6,5.975599188
6,5.99294494
7,7.027309504
5,5.012467172
5,4.995159622
5,4.997337975
7,6.999830497
7,6.99701073
5,4.98771214
5,5.003267207
6,6.001846272
6,5.98714137
5,4.99267142
5,5.009544524
7,6.975821509
5,4.988535017
6,6.008949965
6,5.987139275
6,5.98822689
7,6.980369949
5,4.995202416
5,5.007550023
5,4.993941263
5,4.963060925
5,4.971920807
5,5.000881043
5,4.997327543
7,6.989742569
6,5.990319198
6,5.958686697
6,5.989589636
6,5.980320977
6,5.96846944
6,5.99346194
5,5.012280894
6,5.99793554
5,4.976813508
7,6.976891674
5,4.997417907
6,5.990870903
5,4.962613088
6,5.966180703
5,5.019602433
6,5.987548141
5,5.001593683
5,4.972137792
5,4.998553269
7,7.007303276
7,6.969236642
6,5.974951889
6,6.018678457
6,6.014773324
6,6.005632958
5,5.011710717
6,6.018004406
6,5.996085661
6,5.982565087
7,6.965433565
5,5.017288458
6,6.007988114
5,5.028863394
6,5.954545396
5,5.014482783
5,5.014482783
6,5.954545396
6,5.982512893
5,4.972590447
5,5.007685619
5,4.972590447
7,6.995469949
7,7.003308063
5,5.027277004
5,4.991459106
7,7.004818223
5,4.989923322
5,5.005172577
6,5.990272592
5,4.989480503
6,5.951200251
6,5.967543678
6,6.006988319
6,5.992020317
6,6.008402695
5,5.023937511
6,6.008661021
6,5.989862129
6,5.994248168
6,5.994248168
4,3.987948395
6,5.999853216
6,6.012834896
6,6.003148324
5,4.969969979
7,6.999621517
6,5.994199198
7,6.990908162
7,7.002129016
6,5.988526297
6,5.998089604
6,6.014196682
4,4.006537646
6,5.997327759
6,6.003403929
5,5.020674424
5,4.996586976
7,6.970261704
7,6.970261704
6,5.999700601
7,7.043493591
4,4.011790748
6,6.00324089
6,5.999273342
6,5.980234539
6,6.010306049
5,4.998314019
5,4.980826619
6,5.984022626
6,6.018358968
6,5.98504621
7,7.001596207
6,5.957718075
5,4.986435028
6,5.978402926
5,4.977542876
6,5.949819173
6,6.013676789
6,5.985950214
7,7.00421793
7,7.00122791
6,5.965990808
6,5.95153663
6,5.966907108
6,5.967246158
5,5.002228982
7,6.95555752
7,6.992017172
5,4.981681953
5,4.981681953
6,6.023992476
7,6.987465804
7,6.99995205
7,6.983913754
7,7.002861505
6,5.978718854
4,3.990718085
5,4.991285076
5,4.946668828
6,5.972828011
6,5.964335064
4,4.012311569
5,4.970793745
5,4.978965888
7,6.991481983
6,6.010833022
6,6.005799957
6,5.986614733
6,5.956053785
6,5.998511616
6,5.974437232
5,5.012257909
4,3.998838837
7,6.997827374
5,4.999472375
6,6.011034677
7,7.019352891
6,6.015217249
7,6.993197254
7,6.971390232
7,6.968103306
5,4.972687159
7,7.009040733
6,5.962541942
7,6.966372581
6,5.970570446
6,5.988961267
6,5.980852977
5,5.016875944
4,3.98328885
7,7.022504005
4,4.001300198
5,5.016416348
6,5.999104721
6,5.974942083
5,5.006029687
5,4.982735503
5,4.997000296
5,4.983880881
4,3.992500021
6,6.020578686
5,4.992464843
6,5.992569734
5,5.027383537
5,4.978137771
5,4.947480732
5,5.004998383
6,5.940845323
6,5.988332138
6,5.948693236
7,6.966551142
7,6.987503852
5,4.965138852
6,5.977739864
7,7.007664662
7,7.00873147
5,4.969773106
6,5.997912626
7,6.999675956
6,5.967929025
5,4.964772619
6,5.960888719
7,6.975300558
6,5.979420753
7,6.989378265
6,5.9654103
6,5.979964202
6,6.019275895
6,5.990985889
5,5.048182409
6,5.977846586
5,4.974014864
5,4.974014864
7,6.958505775
6,5.971787989
7,6.993994055
7,7.005790703
4,3.999844772
6,5.990675958
6,5.979101342
7,6.995670965
6,5.965015687
7,6.986228697
7,6.946548785
6,6.013847631
6,5.976295287
6,5.979406222
6,5.975153682
5,4.98794673
7,6.993203456
6,5.951308391
6,6.014494987
6,5.982979902
5,4.95346775
5,4.927457466
6,6.002258258
5,4.965643969
7,6.945370374
7,6.99255815
6,5.966927588
5,4.960316335
6,5.973597427
6,5.970028326
7,6.964288424
5,4.983384268
6,5.993562585
5,4.963333855
6,5.994592463
5,5.021758979
7,6.958437494
6,5.941248544
7,6.958437494
7,6.969072215
6,6.005090025
7,7.008549754
5,4.982269049
6,5.967799051
6,5.970829806
7,6.974863241
5,5.017362704
5,5.016919396
5,4.986036589
7,6.942780053
7,6.957830624
5,4.988755191
6,5.993089635
6,5.997172044
4,3.977731155
7,6.956926155
6,5.967708058
5,5.010402904
6,5.980906415
5,4.998386733
5,4.994744215
6,5.997120071
5,4.988954368
6,6.006221264
5,4.991049572
6,6.00269486
5,4.993158867
6,5.988650182
6,6.000690775
5,4.989728571
6,5.974649036
6,5.972641633
6,5.972641633
6,5.976376391
7,6.968396551
6,6.044084938
6,5.961108575
5,4.996544137
6,5.975788171
5,4.941354553
6,5.994613587
5,4.962635055
6,6.002734114
7,6.976208026
6,5.977908626
5,4.97109688
5,5.009849356
5,4.98711634
6,5.969944623
5,4.986662267
6,5.991782014
7,6.981409132
6,6.009802689
6,5.983968471
6,5.945976155
7,7.000922294
5,4.992901605
5,5.011358102
6,5.925245257
5,4.9907403
7,6.978305912
5,4.98800166
6,5.999638689
6,5.987185388
6,5.991152315
6,6.001825038
6,6.001825038
6,6.008624291
6,5.991152315
6,6.001825038
6,6.006783623
5,4.977328877
5,4.983194651
7,6.978877698
6,6.010498128
6,5.998237379
5,5.002242581
5,5.043477659
6,5.976633217
5,4.978694411
5,4.975196187
5,4.977550894
7,6.973509621
5,4.974045253
5,4.965229841
5,5.00337862
5,4.996597013
5,4.997179971
6,5.989870157
5,5.019954658
5,4.9981307
5,4.996288174
5,4.947886688
5,4.973198184
5,4.979960137
6,5.980174692
5,4.948007612
5,5.014025389
6,5.988416773
5,5.0089618
7,7.021135953
5,4.979547123
6,6.007003146
6,5.977175152
6,6.014244004
5,4.997788266
7,7.023840882
6,5.997284713
6,6.018334181
5,4.997788266
5,4.965524481
7,6.957862575
5,4.970149085
5,4.970149085
6,6.005787001
6,6.020629804
6,5.96027344
5,5.008179695
4,3.998401581
7,6.993011433
6,6.008407571
6,5.993463476
5,5.007063414
6,6.013829224
5,5.007063414
7,7.027324607
5,4.999518926
6,5.996292893
6,6.030355234
5,5.049239158
5,5.050854027
5,4.993279317
7,7.010627947
5,5.002439579
5,4.997477544
5,5.006371694
7,7.002941594
5,4.966669996
5,4.966669996
6,6.008018339
5,5.000558622
5,4.990086397
6,5.987826926
6,6.003475453
6,6.012649463
6,6.019379236
6,6.026077553
5,4.987123229
5,5.009262346
4,4.020809706
4,4.023549626
6,5.98642379
6,5.983627113
5,4.973955663
6,6.004942139
5,4.983992464
6,5.964837238
6,5.964837238
5,5.006979446
5,4.980216467
7,6.9935095
7,6.9935095
6,5.981973237
5,5.007374688
6,5.992392523
4,3.999221704
5,5.00817902
5,4.986856612
5,4.975034175
6,5.982771258
5,4.995890781
6,6.014252907
6,5.988621389
5,4.977726475
6,5.992989295
4,3.965270777
5,5.004441773
7,6.993531946
6,5.98195429
5,4.969513015
6,5.995541044
5,4.996253482
5,4.966417173
5,5.022040789
7,6.967188281
4,3.996928388
6,6.01818816
7,7.020909486
6,6.020267309
5,4.973964685
5,4.999553247
6,6.047796132
6,6.017058708
7,7.023669645
6,6.029504069
6,5.998474084
6,6.022932003
6,5.975562118
6,6.005641588
5,4.991174669
6,6.00912757
6,5.985563366
6,5.943313604
5,4.979738937
6,6.010941611
5,4.988883763
5,5.002401212
6,6.006962758
6,6.000252496
6,6.000252496
6,6.011993822
6,6.016412871
6,6.016412871
5,4.990847268
6,5.974268618
6,5.997493416
7,6.989094347
6,6.009970518
6,5.992623125
5,4.999972305
5,4.994640108
7,7.022356595
5,4.994640108
6,5.980038337
5,5.007965542
6,5.992763287
7,6.986358825
5,5.018818903
6,6.009271248
7,7.007647346
5,5.027275105
6,5.99941723
7,6.969704743
5,4.992962995
6,5.990725853
7,7.006760783
7,7.030684507
5,5.027226945
5,4.979938701
6,6.020046844
6,6.009061622
5,4.998016804
6,6.033477085
5,5.010917011
6,5.972487263
5,4.974935186
5,4.980325524
6,5.977805488
5,4.994635008
5,4.949323905
6,6.008870697
6,6.012670795
6,6.008709508
7,6.984675339
6,6.006752563
7,6.996240241
6,5.971551859
5,4.997335214
5,4.997420265
6,5.973827937
6,5.976710335
5,5.008533481
5,5.008533481
5,5.024897163
5,4.981681386
5,5.009693595
5,4.981681386
5,4.998992902
6,6.035766319
6,5.996492744
6,5.991396896
6,6.001655529
7,7.008960467
6,5.975077073
6,6.018510414
7,7.008960467
7,7.004141167
5,5.004443267
